data;descricao;valor
05/03/2025;STONE  ELO  CD0110355910;2175,10
05/03/2025;STONE  MAST CD0110355910;8135,67
05/03/2025;STONE  MAST CD0345085412;997,43
05/03/2025;STONE  AMEX CD0110355910;607,54
05/03/2025;STONE  VISA CD0345085412;184,89
05/03/2025;STONE  VISA CD0110355910;10934,67
06/03/2025;STONE  ELO  CD0110355910;125,92
06/03/2025;STONE  ELO  CD0345085412;151,59
06/03/2025;STONE  MAST CD0345085412;12,00
06/03/2025;STONE  MAST CD0110355910;1434,15
06/03/2025;STONE  VISA CD0110355910;1392,79
06/03/2025;REND PAGO APLIC AUT MAIS;0,43
07/03/2025;STONE  MAST CD0110355910;2063,77
07/03/2025;STONE  MAST CD0345085412;107,04
07/03/2025;STONE  ELO  CD0110355910;393,53
07/03/2025;STONE  VISA CD0345085412;277,33
07/03/2025;STONE  VISA CD0110355910;5601,58
10/03/2025;STONE  VISA CD0110355910;6526,42
10/03/2025;STONE  VISA CD0345085412;165,43
10/03/2025;STONE  MAST CD0345085412;718,15
10/03/2025;STONE  ELO  CD0345085412;163,88
10/03/2025;STONE  MAST CD0110355910;5305,21
10/03/2025;STONE  ELO  CD0110355910;1190,11
11/03/2025;STONE  ELO  CD0110355910;212,03
11/03/2025;STONE  MAST CD0110355910;1583,44
11/03/2025;STONE  MAST CD0345085412;306,53
11/03/2025;STONE  VISA CD0110355910;2151,79
11/03/2025;STONE  VISA CD0345085412;291,93
11/03/2025;PIX TRANSF DERIC P11/03;1000,00
12/03/2025;STONE  VISA CD0110355910;1815,85
12/03/2025;STONE  AMEX CD0345085412;154,24
12/03/2025;STONE  MAST DB0110355910;296,43
12/03/2025;STONE  AMEX CD0110355910;324,28
12/03/2025;STONE  ELO  CD0110355910;356,42
12/03/2025;STONE  MAST CD0110355910;2,16
12/03/2025;STONE  MAST CD0345085412;180,02
13/03/2025;STONE  MAST DB0110355910;197,62
13/03/2025;STONE  VISA DB0110355910;158,10
13/03/2025;STONE  ELO  DB0110355910;167,01
13/03/2025;STONE  MAST CD0110355910;2152,62
13/03/2025;STONE  VISA CD0110355910;1877,04
13/03/2025;STONE  VISA CD0345085412;145,97
13/03/2025;STONE  AMEX CD0110355910;353,06
14/03/2025;STONE  ELO  CD0110355910;212,03
14/03/2025;STONE  AMEX CD0110355910;119,92
14/03/2025;STONE  MAST CD0110355910;2321,31
14/03/2025;STONE  MAST CD0345085412;155,70
14/03/2025;STONE  MAST DB0110355910;172,92
14/03/2025;STONE  VISA CD0345085412;370,26
14/03/2025;STONE  VISA CD0110355910;3928,64
17/03/2025;STONE  MAST CD0345085412;126,50
17/03/2025;STONE  MAST CD0110355910;5180,48
17/03/2025;STONE  VISA CD0345085412;301,66
17/03/2025;STONE  VISA CD0110355910;4174,36
17/03/2025;STONE  AMEX CD0345085412;115,68
17/03/2025;STONE  ELO  CD0110355910;1172,21
18/03/2025;STONE  VISA CD0110355910;1157,50
18/03/2025;STONE  ELO  CD0110355910;252,80
18/03/2025;STONE  VISA CD0345085412;165,43
18/03/2025;STONE  MAST CD0110355910;1576,88
18/03/2025;PIX TRANSF EDSON M18/03;30,00
18/03/2025;REND PAGO APLIC AUT MAIS;0,18
19/03/2025;STONE  MAST CD0345085412;145,97
19/03/2025;STONE  MAST CD0110355910;2162,14
19/03/2025;PIX TRANSF MARIO J19/03;300,00
19/03/2025;STONE  VISA CD0110355910;2609,04
19/03/2025;STONE  VISA CD0345085412;145,97
19/03/2025;STONE  ELO  CD0345085412;250,64
19/03/2025;STONE  ELO  CD0110355910;685,24
19/03/2025;STONE  MAST DB0110355910;355,72
19/03/2025;PIX TRANSF JULIANA19/03;400,00
19/03/2025;PIX TRANSF LUIS FI19/03;1700,00
20/03/2025;STONE  ELO  CD0110355910;221,13
20/03/2025;STONE  VISA CD0110355910;2129,18
20/03/2025;STONE  MAST CD0345085412;180,02
20/03/2025;STONE  MAST CD0110355910;1758,06
20/03/2025;PIX TRANSF Jọo Jo20/03;1000,00
20/03/2025;REND PAGO APLIC AUT MAIS;0,37
21/03/2025;STONE  VISA CD0110355910;301,77
21/03/2025;STONE  VISA CD0345085412;165,43
21/03/2025;STONE  MAST DB0110355910;286,55
21/03/2025;STONE  MAST CD0345085412;116,77
21/03/2025;STONE  MAST CD0110355910;1875,44
21/03/2025;PIX TRANSF HELTON 21/03;300,00
24/03/2025;STONE  ELO  CD0110355910;383,04
24/03/2025;STONE  VISA CD0110355910;4741,98
24/03/2025;STONE  VISA DB0110355910;172,92
24/03/2025;STONE  MAST CD0345085412;506,01
24/03/2025;STONE  MAST CD0110355910;5403,29
